"product_id","product_name","category","cost_price","sale_price","brand","description","image_url","transaction_date","customer_type","country","discount_band","units_sold","revenue","total_cost","month","year","month-2","discount_band-2","discount","discount_revenue"
"PS10022","AudioBox USB 96 Studio","Recording Bundle","90.00","199.00","PreSonus","A complete recording bundle that includes an audio interface, M7 condenser microphone, headphones, and software. This all-in-one package is designed for musicians, podcasters, and streamers looking for an affordable, portable recording setup.","https://absentdata.com/wp-content/uploads/2024/11/AudioBox-USB-96-Studio.png","2023-01-04","Government","United States of America"," High ",6,"1194.00","540.00","April","2023","April","high",15,"1014.9000000000000000000000"
"RR10020","NT1-A","Condenser Microphone","160.00","229.00","Rode","A popular condenser microphone known for its low self-noise and clear sound quality, perfect for vocal and instrument recordings. It comes with a shock mount and pop filter, making it a great choice for home studios.","https://absentdata.com/wp-content/uploads/2024/11/nt-1_image-removebg-preview.png","2023-01-04","Government","Germany"," High ",12,"2748.00","1920.00","April","2023","April","high",15,"2335.8000000000000000000000"
"SR1001","MV7","Dynamic Microphone","174.00","199.00","Shure","A versatile USB/XLR dynamic microphone ideal for podcasting, streaming, and vocal recording. It features built-in DSP for sound customization and excellent voice isolation, inspired by the legendary SM7B microphone.","https://absentdata.com/wp-content/uploads/2024/11/m7_gif.gif","2023-01-04","Government","Mexico"," High ",26,"5174.00","4524.00","April","2023","April","high",15,"4397.9000000000000000000000"
"HY1004","QuadCast S","Streaming Microphone","97.00","139.00","HyperX","A USB condenser microphone featuring customizable RGB lighting, tap-to-mute functionality, and four polar patterns for versatile recording options. Ideal for gaming, streaming, and content creation.","https://absentdata.com/wp-content/uploads/2024/11/hyper_x_color_gif.gif","2022-01-04","Government","France"," High ",19,"2641.00","1843.00","April","2022","April","high",15,"2244.8500000000000000000000"
"HY1004","QuadCast S","Streaming Microphone","97.00","139.00","HyperX","A USB condenser microphone featuring customizable RGB lighting, tap-to-mute functionality, and four polar patterns for versatile recording options. Ideal for gaming, streaming, and content creation.","https://absentdata.com/wp-content/uploads/2024/11/hyper_x_color_gif.gif","2022-01-04","Government","Germany"," High ",18,"2502.00","1746.00","April","2022","April","high",15,"2126.7000000000000000000000"
"PS10022","AudioBox USB 96 Studio","Recording Bundle","90.00","199.00","PreSonus","A complete recording bundle that includes an audio interface, M7 condenser microphone, headphones, and software. This all-in-one package is designed for musicians, podcasters, and streamers looking for an affordable, portable recording setup.","https://absentdata.com/wp-content/uploads/2024/11/AudioBox-USB-96-Studio.png","2022-01-04","Enterprise","United States of America"," High ",28,"5572.00","2520.00","April","2022","April","high",15,"4736.2000000000000000000000"
"PS10022","AudioBox USB 96 Studio","Recording Bundle","90.00","199.00","PreSonus","A complete recording bundle that includes an audio interface, M7 condenser microphone, headphones, and software. This all-in-one package is designed for musicians, podcasters, and streamers looking for an affordable, portable recording setup.","https://absentdata.com/wp-content/uploads/2024/11/AudioBox-USB-96-Studio.png","2022-01-04","Enterprise","Canada"," High ",1,"199.00","90.00","April","2022","April","high",15,"169.1500000000000000000000"
"RR10020","NT1-A","Condenser Microphone","160.00","229.00","Rode","A popular condenser microphone known for its low self-noise and clear sound quality, perfect for vocal and instrument recordings. It comes with a shock mount and pop filter, making it a great choice for home studios.","https://absentdata.com/wp-content/uploads/2024/11/nt-1_image-removebg-preview.png","2022-01-04","Small Business","France"," High ",20,"4580.00","3200.00","April","2022","April","high",15,"3893.0000000000000000000000"
"FR10021","Scarlett 2i2","Audio Interface","118.00","169.00","Focusrite","A compact USB audio interface with two inputs, allowing users to connect microphones and instruments for high-quality audio recording. Known for its ease of use and low-latency performance, its a staple in beginner and professional setups alike.","https://absentdata.com/wp-content/uploads/2024/11/focusrite-scarlett-2i2-2-removebg-preview.png","2022-01-04","Education","Mexico"," High ",9,"1521.00","1062.00","April","2022","April","high",15,"1292.8500000000000000000000"
"AR1200","Arctis 7P+","Wireless Gaming Headset","104.00","149.00","SteelSeries","A wireless gaming headset with excellent sound quality and long battery life, designed specifically for compatibility with PlayStation 5. It features a retractable microphone, comfortable ear cushions, and a durable build.","https://absentdata.com/wp-content/uploads/2024/11/Arc_Headset-removebg-preview.png","2022-01-04","Creator","Germany"," High ",28,"4172.00","2912.00","April","2022","April","high",15,"3546.2000000000000000000000"
"AR1200","Arctis 7P+","Wireless Gaming Headset","104.00","149.00","SteelSeries","A wireless gaming headset with excellent sound quality and long battery life, designed specifically for compatibility with PlayStation 5. It features a retractable microphone, comfortable ear cushions, and a durable build.","https://absentdata.com/wp-content/uploads/2024/11/Arc_Headset-removebg-preview.png","2022-01-04","Creator","United States of America"," High ",14,"2086.00","1456.00","April","2022","April","high",15,"1773.1000000000000000000000"
"SR1001","MV7","Dynamic Microphone","174.00","199.00","Shure","A versatile USB/XLR dynamic microphone ideal for podcasting, streaming, and vocal recording. It features built-in DSP for sound customization and excellent voice isolation, inspired by the legendary SM7B microphone.","https://absentdata.com/wp-content/uploads/2024/11/m7_gif.gif","2022-01-04","Enterprise","Mexico"," High ",10,"1990.00","1740.00","April","2022","April","high",15,"1691.5000000000000000000000"
"RR10020","NT1-A","Condenser Microphone","160.00","229.00","Rode","A popular condenser microphone known for its low self-noise and clear sound quality, perfect for vocal and instrument recordings. It comes with a shock mount and pop filter, making it a great choice for home studios.","https://absentdata.com/wp-content/uploads/2024/11/nt-1_image-removebg-preview.png","2023-01-04","Small Business","France"," High ",18,"4122.00","2880.00","April","2023","April","high",15,"3503.7000000000000000000000"
"FR10021","Scarlett 2i2","Audio Interface","118.00","169.00","Focusrite","A compact USB audio interface with two inputs, allowing users to connect microphones and instruments for high-quality audio recording. Known for its ease of use and low-latency performance, its a staple in beginner and professional setups alike.","https://absentdata.com/wp-content/uploads/2024/11/focusrite-scarlett-2i2-2-removebg-preview.png","2023-01-04","Government","France"," High ",25,"4225.00","2950.00","April","2023","April","high",15,"3591.2500000000000000000000"
"AR1200","Arctis 7P+","Wireless Gaming Headset","104.00","149.00","SteelSeries","A wireless gaming headset with excellent sound quality and long battery life, designed specifically for compatibility with PlayStation 5. It features a retractable microphone, comfortable ear cushions, and a durable build.","https://absentdata.com/wp-content/uploads/2024/11/Arc_Headset-removebg-preview.png","2023-01-04","Creator","Canada"," High ",35,"5215.00","3640.00","April","2023","April","high",15,"4432.7500000000000000000000"
"PS10022","AudioBox USB 96 Studio","Recording Bundle","90.00","199.00","PreSonus","A complete recording bundle that includes an audio interface, M7 condenser microphone, headphones, and software. This all-in-one package is designed for musicians, podcasters, and streamers looking for an affordable, portable recording setup.","https://absentdata.com/wp-content/uploads/2024/11/AudioBox-USB-96-Studio.png","2023-01-04","Education","Germany"," High ",5,"995.00","450.00","April","2023","April","high",15,"845.7500000000000000000000"
